stripid,PU,Sbin,E_pu,E_pu_std,Nw,w_1_1,w_1_2,w_1_3,w_1_4,w_1_5,sw_1_1,sw_1_2,sw_1_3,sw_1_4,sw_1_5,eta_ring,w_1_1_c,w_1_2_c,w_1_3_c,w_1_4_c,w_1_5_c,enc_w_1_1,enc_w_1_2,enc_w_1_3,enc_w_1_4,enc_w_1_5
237640,50,1.5_2.5,0.085493,0.0331829,5,-0.679856,-0.510055,0.277,0.517022,0.395889,0.0530066,0.05291,0.0523199,0.0480031,0.0359554,-18,-0.671875,-0.515625,0.28125,0.515625,0.390625,85,95,18,33,25
237640,50,29_31,0.0855825,0.033017,5,-0.666705,-0.498901,0.268224,0.505672,0.391711,0.00335372,0.00338,0.00317456,0.00303405,0.00228161,-18,-0.671875,-0.5,0.265625,0.515625,0.390625,85,96,17,33,25
229640,50,1.5_2.5,0.0857759,0.0350611,5,-0.660352,-0.52036,0.277864,0.516814,0.386034,0.0566542,0.0583123,0.0536553,0.0521166,0.0511605,-18,-0.65625,-0.53125,0.28125,0.515625,0.390625,86,94,18,33,25
229640,50,29_31,0.0852311,0.0333996,5,-0.649276,-0.509654,0.269553,0.50619,0.383186,0.00346484,0.00345346,0.0034772,0.00313872,0.00229623,-18,-0.640625,-0.515625,0.265625,0.5,0.390625,87,95,17,32,25
229576,50,1.5_2.5,0.0936154,0.0361568,5,-0.640286,-0.530262,0.253001,0.514609,0.402938,0.0526865,0.0595673,0.054006,0.0523892,0.0356153,-18,-0.640625,-0.53125,0.25,0.515625,0.40625,87,94,16,33,26
229576,50,29_31,0.0932516,0.0350232,5,-0.628308,-0.517455,0.244841,0.502999,0.397923,0.00333204,0.003732,0.00326027,0.00319139,0.00238559,-18,-0.625,-0.515625,0.25,0.5,0.390625,88,95,16,32,25
229512,50,1.5_2.5,0.11604,0.0386562,5,-0.653549,-0.533442,0.264915,0.516206,0.40587,0.0548627,0.0668728,0.064866,0.0586028,0.0455484,-18,-0.65625,-0.53125,0.265625,0.515625,0.40625,86,94,17,33,26
229512,50,29_31,0.114813,0.0379604,5,-0.633872,-0.513156,0.250477,0.497496,0.399056,0.00387801,0.00403862,0.00388704,0.00357959,0.00259267,-18,-0.640625,-0.515625,0.25,0.5,0.40625,87,95,16,32,26
229448,50,1.5_2.5,0.101346,0.0364576,5,-0.645584,-0.53051,0.266626,0.516278,0.39319,0.0566577,0.0661979,0.062482,0.057285,0.0401437,-18,-0.640625,-0.53125,0.265625,0.515625,0.390625,87,94,17,33,25
229448,50,29_31,0.101017,0.0358558,5,-0.631343,-0.517327,0.255517,0.503299,0.389853,0.00373123,0.00381917,0.00379845,0.00340907,0.00255323,-18,-0.625,-0.515625,0.25,0.5,0.390625,88,95,16,32,25
