#stripid,cmsswid,FED,TT,VFE
303176,838863361,610,1,1
303184,838862849,610,1,2
303192,838862337,610,1,3
303200,838861825,610,1,4
303208,838861313,610,1,5
303240,838863366,610,2,1
303248,838862854,610,2,2
303256,838862342,610,2,3
303264,838861830,610,2,4
303272,838861318,610,2,5
303304,838863371,610,3,1
303312,838862859,610,3,2
303320,838862347,610,3,3
303328,838861835,610,3,4
303336,838861323,610,3,5
303368,838863376,610,4,1
303376,838862864,610,4,2
303384,838862352,610,4,3
303392,838861840,610,4,4
303400,838861328,610,4,5
303432,838865921,610,5,1
303440,838865409,610,5,2
303448,838864897,610,5,3
303456,838864385,610,5,4
303464,838863873,610,5,5
303496,838865926,610,6,1
303504,838865414,610,6,2
303512,838864902,610,6,3
303520,838864390,610,6,4
303528,838863878,610,6,5
303560,838865931,610,7,1
303568,838865419,610,7,2
303576,838864907,610,7,3
303584,838864395,610,7,4
303592,838863883,610,7,5
303624,838865936,610,8,1
303632,838865424,610,8,2
303640,838864912,610,8,3
303648,838864400,610,8,4
303656,838863888,610,8,5
303688,838868481,610,9,1
303696,838867969,610,9,2
303704,838867457,610,9,3
303712,838866945,610,9,4
303720,838866433,610,9,5
303752,838868486,610,10,1
303760,838867974,610,10,2
303768,838867462,610,10,3
303776,838866950,610,10,4
303784,838866438,610,10,5
303816,838868491,610,11,1
303824,838867979,610,11,2
303832,838867467,610,11,3
303840,838866955,610,11,4
303848,838866443,610,11,5
303944,838868993,610,13,1
303952,838869505,610,13,2
303960,838870017,610,13,3
303968,838870529,610,13,4
303976,838871041,610,13,5
304008,838868998,610,14,1
304016,838869510,610,14,2
304024,838870022,610,14,3
304032,838870534,610,14,4
304040,838871046,610,14,5
304072,838869003,610,15,1
304080,838869515,610,15,2
304088,838870027,610,15,3
304096,838870539,610,15,4
304104,838871051,610,15,5
304136,838869008,610,16,1
304144,838869520,610,16,2
304152,838870032,610,16,3
304160,838870544,610,16,4
304168,838871056,610,16,5
304200,838871553,610,17,1
304208,838872065,610,17,2
304216,838872577,610,17,3
304224,838873089,610,17,4
304232,838873601,610,17,5
304264,838871558,610,18,1
304272,838872070,610,18,2
304280,838872582,610,18,3
304288,838873094,610,18,4
304296,838873606,610,18,5
304328,838871563,610,19,1
304336,838872075,610,19,2
304344,838872587,610,19,3
304352,838873099,610,19,4
304360,838873611,610,19,5
304392,838871568,610,20,1
304400,838872080,610,20,2
