stripid,CMSSWID,FED,CCU,VFE
237640,872415401,606,24,4
229640,872415402,606,24,1
229576,872415406,606,17,1
229512,872415415,606,9,1
229648,872415530,606,24,2
229584,872415534,606,17,2
229520,872415543,606,9,2
229448,872415547,606,2,1
229656,872415658,606,24,3
229592,872415662,606,17,3
229528,872415671,606,9,3
229456,872415675,606,2,2
237704,872415780,606,34,1
229832,872415790,606,17,4
229768,872415799,606,9,4
237648,872415910,606,34,2
229896,872415915,606,24,5
229840,872415918,606,17,5
229776,872415927,606,9,5
229704,872415930,606,2,5
229464,872415931,606,2,3
221448,872415932,606,2,4
221456,872415935,605,25,4
221384,872415937,605,25,3
237832,872416026,606,33,1
237768,872416031,606,30,1
237968,872416034,606,30,2
237960,872416036,606,29,1
237904,872416039,606,29,2
237896,872416041,606,23,2
229912,872416043,606,23,1
229904,872416046,606,16,2
229848,872416048,606,16,1
229712,872416058,606,1,1
221640,872416067,605,17,2
221256,872416075,605,11,1
237840,872416154,606,33,2
237976,872416164,606,29,3
230152,872416171,606,23,3
229784,872416181,606,8,1
221704,872416190,605,24,2
221648,872416193,605,24,1
221320,872416198,605,17,1
221264,872416203,605,11,2
237848,872416282,606,33,3
238032,872416287,606,30,4
238024,872416288,606,30,3
238160,872416295,606,29,4
230088,872416304,606,16,3
229720,872416311,606,8,2
221712,872416316,606,1,2
221656,872416321,605,24,3
221576,872416326,605,17,3
245896,872416405,607,14,3
245832,872416407,607,14,2
238096,872416411,606,33,5
238088,872416412,606,33,4
238216,872416420,606,29,5
238152,872416425,606,23,4
230168,872416427,606,23,5
230160,872416430,606,16,4
230096,872416432,606,16,5
230024,872416437,606,8,3
229960,872416442,606,1,3
221584,872416454,605,17,4
221520,872416458,605,11,4
213256,872416462,605,25,1
238040,872416543,606,30,5
230032,872416565,606,8,5
229968,872416567,606,8,4
229976,872416570,606,1,5
221968,872416572,606,1,4
221960,872416574,605,24,4
221896,872416577,605,24,5
221592,872416582,605,17,5
221528,872416586,605,11,5
221272,872416587,605,11,3
213192,872416592,605,25,2
245904,872416661,607,20,1
246096,872416664,607,20,2
246088,872416666,607,13,2
238104,872416668,607,13,1
238344,872416671,606,32,2
238280,872416672,606,32,1
238224,872416676,606,28,1
238168,872416681,606,22,2
230176,872416683,606,22,1
230104,872416686,606,15,1
230040,872416695,606,7,1
229984,872416698,605,31,1
221904,872416705,605,23,1
221832,872416709,605,16,1
221512,872416713,605,10,1
246176,872416790,607,20,3
238288,872416801,606,32,3
238232,872416804,606,28,2
230408,872416814,606,15,4
230344,872416815,606,15,2
221976,872416828,605,31,2
221912,872416833,605,23,2
213520,872416843,605,10,2
213512,872416845,605,6,2
246104,872416922,607,13,3
238352,872416925,607,13,4
238536,872416932,606,28,4
238472,872416934,606,28,3
238408,872416937,606,22,3
230416,872416940,606,22,4
230352,872416943,606,15,3
230280,872416950,606,7,2
221840,872416964,605,16,3
221768,872416966,605,16,2
213448,872416975,605,6,3
213200,872416976,605,6,1
245960,872417040,607,14,4
246152,872417045,607,20,4
238360,872417055,606,32,4
238480,872417061,606,28,5
238416,872417065,606,22,5
230288,872417077,606,7,3
230224,872417081,605,31,4
222216,872417084,605,31,3
222152,872417088,605,23,3
221776,872417096,605,10,4
213528,872417099,605,10,3
213456,872417104,605,6,4
246216,872417170,607,14,5
246160,872417173,607,20,5
246344,872417178,607,13,5
238544,872417185,606,32,5
82120,872417199,606,15,5
82056,872417206,606,7,5
230216,872417207,606,7,4
222224,872417212,605,31,5
222160,872417215,605,23,5
222088,872417217,605,23,4
222096,872417220,605,16,5
221784,872417222,605,16,4
213768,872417227,605,10,5
213464,872417232,605,6,5
213384,872417235,605,3,4
213128,872417237,605,3,3
246024,872417294,607,21,2
246280,872417296,607,26,2
246232,872417297,607,26,1
246224,872417301,607,19,3
246168,872417302,607,19,1
246408,872417306,607,12,3
246352,872417307,607,12,1
238600,872417311,606,31,1
238552,872417316,606,27,1
90248,872417321,606,21,3
90184,872417322,606,21,2
82192,872417324,606,21,1
82184,872417326,606,14,2
82128,872417328,606,14,1
82064,872417333,606,6,1
222024,872417350,605,15,1
213392,872417365,605,2,1
246240,872417426,607,26,3
246416,872417432,607,19,2
246360,872417435,607,12,2
246600,872417439,606,31,4
238608,872417440,606,31,2
90256,872417446,606,27,2
82376,872417456,606,14,3
81992,872417465,605,30,2
73928,872417471,605,22,2
222104,872417473,605,22,1
213776,872417482,605,9,1
213472,872417487,605,5,1
213408,872417492,605,2,2
238616,872417568,606,31,3
90312,872417572,606,27,3
90264,872417575,606,27,4
90192,872417578,606,21,4
82000,872417591,606,6,2
73992,872417595,605,30,1
222032,872417605,605,15,2
213784,872417609,605,9,2
213704,872417613,605,5,2
213064,872417623,605,3,1
246288,872417678,607,21,3
246296,872417680,607,26,4
246472,872417686,607,19,4
246608,872417693,607,12,4
90320,872417700,606,27,5
82440,872417710,606,14,4
82384,872417712,606,14,5
82312,872417717,606,6,3
74000,872417723,605,30,4
73944,872417726,605,22,4
73864,872417729,605,22,3
222040,872417732,605,15,3
213712,872417739,605,9,3
213640,872417743,605,5,4
213400,872417744,605,5,3
213344,872417749,605,2,3
246304,872417808,607,26,5
246480,872417813,607,19,5
246664,872417818,607,12,5
90376,872417824,606,31,5
90440,872417834,606,21,5
82320,872417845,606,6,5
82256,872417847,606,6,4
74248,872417851,605,30,5
73936,872417852,605,30,3
73872,872417857,605,22,5
73800,872417861,605,15,5
214024,872417862,605,15,4
214032,872417864,605,9,4
213960,872417867,605,9,5
213648,872417872,605,5,5
213416,872417874,605,2,4
213336,872417877,605,2,5
213328,872417879,605,3,2
254032,872417929,607,21,4
254024,872417931,607,27,1
246312,872417936,607,25,1
246488,872417941,607,18,1
246672,872417946,607,11,1
98376,872417951,607,7,2
90384,872417953,607,7,1
90632,872417956,606,26,2
90568,872417957,606,26,1
90504,872417961,606,20,2
90448,872417963,606,20,1
82448,872417966,606,13,2
82392,872417968,606,13,1
82328,872417973,606,5,1
74256,872417978,605,29,1
74120,872417984,605,21,1
73808,872417988,605,14,1
213968,872417995,605,8,1
213320,872418005,605,1,1
254280,872418060,607,27,3
254296,872418061,607,27,2
254304,872418064,607,25,3
246536,872418067,607,25,2
246544,872418069,607,18,3
246728,872418072,607,18,2
246736,872418074,607,11,3
98440,872418077,607,11,2
90576,872418086,606,26,3
82248,872418103,606,5,2
74184,872418108,605,29,2
65800,872418118,605,14,2
213656,872418127,605,4,1
205344,872418137,604,23,2
205064,872418140,604,30,3
254088,872418185,607,21,5
246552,872418194,607,25,4
246744,872418199,607,18,4
98448,872418204,607,11,4
98384,872418207,607,7,3
90760,872418217,606,20,3
90696,872418220,606,20,4
82696,872418222,606,13,3
82632,872418225,606,13,4
74128,872418239,605,21,3
74056,872418241,605,21,2
