#stripid,cmsswid,FED,CCU,VFE,logicid
8264,872425902,601,14,2,1216011402
8272,872425901,601,21,2,1216012102
8328,872426287,601,15,5,1216011505
8336,872426033,601,14,1,1216011401
8392,872426291,601,7,5,1216010705
8400,872426035,601,6,1,1216010601
8456,872425912,602,30,1,1216023001
8464,872425911,601,6,2,1216010602
8520,872425390,601,13,2,1216011302
8528,872425646,601,14,4,1216011404
8584,872425776,601,14,3,1216011403
8592,872425648,601,14,5,1216011405
8600,872425393,601,13,1,1216011301
8648,872425779,601,6,3,1216010603
8656,872425651,601,6,5,1216010605
8664,872425395,601,5,1,1216010501
8712,872425654,601,6,4,1216010604
8720,872425397,601,5,2,1216010502
8776,872425134,601,13,3,1216011303
8784,872425006,601,13,5,1216011305
8840,872425010,601,13,4,1216011304
8904,872425011,601,5,4,1216010504
8968,872425141,601,5,3,1216010503
8976,872425012,601,5,5,1216010505
9032,872424624,601,12,1,1216011201
9096,872424626,601,12,2,1216011202
9160,872424627,601,4,1,1216010401
9224,872424629,601,4,2,1216010402
9288,872424366,601,12,5,1216011205
9296,872423983,601,11,2,1216011102
9352,872424369,601,12,4,1216011204
9360,872423985,601,11,3,1216011103
9416,872424371,601,4,4,1216010404
9424,872423987,601,3,1,1216010301
9480,872424373,601,4,5,1216010405
9488,872423989,601,3,2,1216010302
9608,872423729,601,11,4,1216011104
9736,872423731,601,3,4,1216010304
9864,872423472,601,10,1,1216011001
9872,872423217,601,10,3,1216011003
9992,872423475,602,32,1,1216023201
10000,872423219,602,32,3,1216023203
16456,872425913,602,30,2,1216023002
16464,872425785,602,30,4,1216023004
16520,872426045,602,22,2,1216022202
16528,872425660,602,30,3,1216023003
16536,872425661,602,22,4,1216022204
16584,872425791,602,22,3,1216022203
16592,872425662,602,22,5,1216022205
16648,872425666,602,15,5,1216021505
16656,872425410,602,14,1,1216021401
16712,872425656,602,30,5,1216023005
16720,872425400,602,29,1,1216022901
16776,872425402,602,29,2,1216022902
16840,872425405,602,21,1,1216022101
16848,872425277,602,21,3,1216022103
16904,872425280,602,21,2,1216022102
16912,872425024,602,21,4,1216022104
16968,872425016,602,29,4,1216022904
17032,872425146,602,29,3,1216022903
17040,872425017,602,29,5,1216022905
17096,872425021,602,21,5,1216022105
17104,872424637,602,20,1,1216022001
17160,872424639,602,20,2,1216022002
17224,872424376,602,28,4,1216022804
17232,872424503,601,4,3,1216010403
17288,872424761,602,28,1,1216022801
17296,872424377,602,28,3,1216022803
17352,872424635,602,28,2,1216022802
17360,872424378,602,28,5,1216022805
17416,872424381,602,20,4,1216022004
