#stripid,cmsswid,FED,CCU,VFE
8264,872425902,601,14,2
8272,872425901,601,21,2
8328,872426287,601,15,5
8336,872426033,601,14,1
8392,872426291,601,7,5
8400,872426035,601,6,1
8456,872425912,602,30,1
8464,872425911,601,6,2
8520,872425390,601,13,2
8528,872425646,601,14,4
8584,872425776,601,14,3
8592,872425648,601,14,5
8600,872425393,601,13,1
8648,872425779,601,6,3
8656,872425651,601,6,5
8664,872425395,601,5,1
8712,872425654,601,6,4
8720,872425397,601,5,2
8776,872425134,601,13,3
8784,872425006,601,13,5
8840,872425010,601,13,4
8904,872425011,601,5,4
8968,872425141,601,5,3
8976,872425012,601,5,5
9032,872424624,601,12,1
9096,872424626,601,12,2
9160,872424627,601,4,1
9224,872424629,601,4,2
9288,872424366,601,12,5
9296,872423983,601,11,2
9352,872424369,601,12,4
9360,872423985,601,11,3
9416,872424371,601,4,4
9424,872423987,601,3,1
9480,872424373,601,4,5
9488,872423989,601,3,2
9608,872423729,601,11,4
9736,872423731,601,3,4
9864,872423472,601,10,1
9872,872423217,601,10,3
9992,872423475,602,32,1
10000,872423219,602,32,3
16456,872425913,602,30,2
16464,872425785,602,30,4
16520,872426045,602,22,2
16528,872425660,602,30,3
16536,872425661,602,22,4
16584,872425791,602,22,3
16592,872425662,602,22,5
16648,872425666,602,15,5
16656,872425410,602,14,1
16712,872425656,602,30,5
16720,872425400,602,29,1
16776,872425402,602,29,2
16840,872425405,602,21,1
16848,872425277,602,21,3
16904,872425280,602,21,2
16912,872425024,602,21,4
16968,872425016,602,29,4
17032,872425146,602,29,3
17040,872425017,602,29,5
17096,872425021,602,21,5
17104,872424637,602,20,1
17160,872424639,602,20,2
17224,872424376,602,28,4
17232,872424503,601,4,3
17288,872424761,602,28,1
17296,872424377,602,28,3
17352,872424635,602,28,2
17360,872424378,602,28,5
17416,872424381,602,20,4
17480,872423991,601,3,3
17544,872423992,602,27,1
17608,872423994,602,27,2
17672,872423867,602,27,3
17800,872423733,601,3,5
17928,872423864,602,27,4
17936,872423736,602,27,5
17944,872423481,602,26,1
18056,872423349,602,32,2
18064,872423221,602,32,4
18184,872423096,602,26,4
24648,872425412,602,14,2
24656,872425156,602,14,3
24712,872425287,602,8,2
24720,872425031,602,8,4
24776,872425032,602,8,5
24784,872424777,602,7,1
24840,872424524,603,29,2
24848,872424522,602,7,3
24904,872425026,602,14,4
24968,872425028,602,14,5
24976,872424773,602,13,1
25032,872424647,602,7,2
25040,872424391,602,7,4
25096,872424393,602,7,5
25160,872424770,602,13,2
25168,872424513,602,20,3
25224,872424514,602,13,3
25232,872424386,602,13,5
25288,872424389,602,13,4
25296,872424132,602,12,1
25352,872424135,603,32,1
25360,872423878,602,12,3
25416,872424383,602,20,5
25424,872424126,602,19,1
25480,872424000,602,19,2
25544,872424002,602,12,2
25552,872423746,602,12,4
25608,872423747,602,12,5
25672,872423869,602,19,3
25736,872423741,602,19,4
25800,872423743,602,19,5
25808,872423486,602,18,1
25864,872423362,603,33,2
25872,872423360,602,18,2
25992,872423355,602,26,2
26120,872423357,602,18,3
26128,872423101,602,18,4
26248,872423225,602,26,3
26256,872423098,602,26,5
26264,872422970,602,3,5
26376,872422716,602,25,5
32840,872424525,603,29,4
32848,872424396,603,29,5
32904,872424142,603,28,1
32912,872423886,603,28,3
32968,872423761,603,25,4
32976,872423759,603,28,4
33032,872423505,603,24,1
33040,872423249,603,24,3
33096,872424011,603,32,2
33104,872424012,603,28,2
33160,872423756,603,28,5
33224,872423628,603,27,1
33232,872423373,603,27,2
33288,872423246,603,27,3
33296,872423118,603,27,5
33352,872423879,603,32,3
33360,872423751,603,32,5
33416,872423754,603,32,4
33424,872423497,603,31,1
33480,872423369,603,31,3
33544,872423116,603,27,4
33552,872423113,603,31,5
33608,872423492,603,33,1
33672,872423367,603,31,2
33680,872423237,603,33,3
33736,872423111,603,31,4
33800,872422983,603,14,1
33808,872422727,603,14,2
33864,872423106,603,33,4
33928,872423107,603,33,5
33992,872422851,603,15,1
34056,872422724,603,15,3
34184,872423103,602,18,5
34192,872422847,603,16,2
34312,872422722,603,15,2
34320,872422465,603,16,4
34328,872422466,603,15,4
